rank,title,summary,tags,interest_count,rating,gender,ages
68,천재 배우의 아우라Aura,"희미한 존재감에도 연기의 꿈을 버리지 못하고
15년간 단역을 반복해온 무명배우 신유명.
어느 날 그의 앞에 연귀(演鬼:연기의 귀신)라는 존재가 나타나 계약을 제의한다.
연귀와의 계약으로 15년 전으로 회귀하고 존재감을 얻자, 그는 빛을 내기 시작한다.
사실 그는 존재감 때문에 묻혀있었지만, 엄청난 연기천재였던 것. 
재능에 안주하지 않고 작품마다,
배역마다 최선의 캐릭터를 만들어나가는 신유명은
점점 라이징스타로 성장해 간다.
그런데 은인이라 생각했던 연귀에게는 복잡한 사정이 있는 것 같다.
유명은 그의 의도가 점차 의심스러워지기 시작하는데...","['회귀', '직업드라마', '빙의', '타임슬립', '연예계', '드라마', '성장드라마', '고인물']",82868,9.91,남성,20대
69,별정직 공무원,"9급 공무원만 4번째 실패 후 우여곡절 끝에 환경부 산하 별정직 공무원에 합격한 한마루.

고시원 안녕! 편의점 도시락 안녕! 하지만 합격의 기쁨은 잠깐
알고 보니 목숨 건 국가 비밀 업무였다?!

황사와 함께 인간 세상에 와, 사람을 죽이고, 사람을 먹는 나찰.
그리고 그 나찰과 전쟁을 치르는 별정직 9급 공무원직!
한마루의 목숨 건 공무원 생활이 시작된다.","['크리처', '액션판타지', '이능력', '현대', '액션', '성장물', '판타지', '미친작화']",216184,9.96,남성,20대
70,소녀교도소,"주인공의 성장과 함께 펼쳐지는 박진감 넘치는 소녀교도소의 세계. 가족, 혐관 요소가 더해져 더욱 흥미롭다.","['액션', '가족', '혐관', '참교육']",217733,3.0,남성,10대
71,나의해방자,"서로 다른 환경의 두 사람이 만나 진정한 사랑을 찾아가는 나의해방자. 서양, 자극적인 요소가 더해져 더욱 흥미롭다.","['로맨스', '서양', '자극적인', '사연남']",217491,9.8,여성,30대
72,남주의 정석,"과거로부터 도망친 해주는 뒤늦게 연영과에 들어왔다.
앞으로 꽃길 가득한 캠퍼스 라이프를 기대했는데...
그러나 더는 도망칠 수 없다.

다시 재회한 은석과 제이 사이에서 마음을 종잡을 수 없는 해주.
은석은 사심을 감추고 제이를 피하기 위해 연애하는 척하자고 제안한다.
해주는 성공적으로 자신의 무대를 연출할 수 있을까?","['다정남', '헌신남', '리얼로맨스', '로맨스', '청춘로맨스', '청춘', '성장물', '캠퍼스']",170402,9.92,남성,10대
73,하루만 네가 되고 싶어,"'완벽한 인생이었다, 그 애가 나타나기 전까지는'
반전에 반전을 거듭하는 치밀한 궁중 서스펜스
네이버웹툰 최강자전 19년 대표작.","['순정남', '로맨스', '서양', '군림녀', '대형견남', '집착남', '계략남', '왕족/귀족']",688051,9.95,여성,10대
74,전리품 공작부인,"제국에서 독립하고자 반란을 일으킨 랭카스터 공작가,
황제의 충실한 기사였던 라슬로 크리서스의 손에 무너지고,
비참하게 잡혀 온 것은 젊고 아름다운 랭카스터 공작 부인, 이델 랭카스터였다.

‘전리품’으로서 귀족들 앞에 놓여진 그녀를
황제는 하녀가 필요하다고 하는 라슬로 크리서스에게 하사한다.

라슬로의 ‘소유물’이 된 이델은 치욕스러운 짓을 당하기 전에 목숨을 끊자고 마음먹지만,
라슬로는 그녀에게 '진짜' 하녀로 고용했다며 일을 지시한다.

그러나 완벽한 공작부인이었던 그녀의 눈에 크리서스 백작가는 너무나 허술한데…
'공작부인'의 경력을 가진 신입 하녀 이델은 크리서스 백작가를 조금씩 변화시켜 나간다.","['소설원작', '로맨스', '서양', '능력녀', '왕족/귀족']",79019,9.98,여성,10대
75,눈에 밟힌 발걸음,"파란 눈이 내리며 얼어붙어버린 세상. 의족 다리를 가지고 있는 10대 소년 '서선우'는 죽어버린 여자아이 '최이서'를 집으로 데려다주기 위해 남쪽으로 걷기 시작한다. 
따뜻함을 잃고 잊은 세상. 세상의 보폭에 맞추기엔 느린 속도. 두껍게 쌓인 눈을 헤치고 절뚝이며 내딛는 발걸음. 
그 족적은 어디로 이어질까. 누구를 만나고 무슨 일을 겪으며 어떤 곳에 도착할까.
어차피 금방 눈에 덮여버릴 그 발걸음이 눈에 밟힌다.","['절망적인', '감성적인', '아포칼립스', '드라마', '감성드라마', '공감', '판타지']",61774,9.98,여성,30대
76,내가 왜 킬러?!,"뜻하지 않게 언더커버 요원이 된 '조', 본래 목표였던 사무직으로 옮겨가기 위해선 이번 임무를 완수해야 한다. 바로 범죄조직 산하의 극악무도한 킬러 집단 '들개들' 잠입수사! 무시무시한 킬러들에게서 정보를 빼내기 위해 같은 킬러로 위장하고 숨어들었지만 어째선지 조의 킬러로서의 명망이 점점 높아지는데..
우당탕탕 코믹 잠입수사기!","['병맛', '느와르', '성장물', '4차원', '열혈병맛개그', '힘숨찐', '액션', '개그']",25122,9.95,남성,20대
77,세기말 풋사과 보습학원,"어릴 때 알던 재수없던 놈이 더 재수없는 놈이 되어 돌아왔다! 중3 황미애의 옆 빌라에 어릴 때 잠깐 시골에서 봤던 김철이 이사 와 같은 학교 같은 반이 되고 '철이와 미애'라 놀림 받자 김철은 미애를 불쾌해하며 피한다. 너만 불쾌한 줄 알아? 나쁜 놈! 미애는 속이 상하지만 그럼에도 자꾸 이상한 우연으로 계속 엮이며 트러블이 발생, 결국 둘은 크게 마음이 상하고 서로 더 이상 아는 척 하지 않으려 한다. 맨날 화만내는 김철과, 황미애 인생에 처음 만나는 이상한 친구들까지 엮이게 되며 미애는 사춘기를 정통으로 겪게 되는데.... <치즈인더트랩> 순끼 작가의 신작!","['명랑녀', '능글남', '로맨스', '외유내강녀', '햇살녀', '청춘', '설렘폭발', '무심남']",551521,9.98,여성,10대
